X,A,B,C,D
17342,0,0,48.6,0
17343,0,0,48.6,0
17344,0,0,48.6,0
17345,0,0,48.6,0
17346,0,0,48.6,0
17347,0,0,48.6,0
17348,0,0,48.6,0
17349,0,0,48.6,0
17350,0,0,48.6,0
17351,0,0,48.6,0
17352,0,0,48.6,0
17353,0,0,48.7,0
17354,0,0,48.7,0
17355,0,0,48.6,0
17356,0,0,48.4,0
17357,0,0,47.9,5
17358,0,0,47,10
17359,0,0,46.1,10
17360,0,0,45.8,5
17361,0,0,45.8,0
17362,0,0,45.8,0
17363,0,0,46,0
17364,0,0,46,0
17365,0,0,46.1,0
17366,0,0,46.3,0
17367,0,0,46.4,0
17368,0,0,46.4,0
17369,0,0,46.4,0
17370,0,0,46.5,0
17371,0,0,46.9,5
17372,0,0,47.4,5
17373,0,0,47.6,0
17374,0,0,47.6,0
17375,0,0,47.6,0
17376,0,0,47.6,0
17377,0,0,47.6,0
17378,0,0,47.6,0
17379,0,0,47.6,0
17380,0,0,47.6,0
17381,0,0,47.6,0
17382,0,0,47.6,0
17383,0,0,47.6,0
17384,0,0,47.6,0
17385,0,0,47.6,0
17386,0,0,47.6,0
17387,0,0,47.6,0
17388,0,0,47.6,0
17389,0,0,47.6,0
17390,0,0,47.6,0
17391,0,0,47.6,0
17392,0,0,47.6,0
17393,0,0,47.6,0
17394,0,0,47.6,0
17395,0,0,47.6,0
17396,0,0,47.6,0
17397,0,0,47.6,0
17398,0,0,47.6,0
17399,0,0,47.6,0
17400,0,0,47.6,0
17401,0,0,47.6,0
17402,0,0,47.6,0
17403,0,0,47.6,0
17404,0,0,47.6,0
17405,0,0,47.5,0
17406,0,0,47.5,0
17407,0,0,47.5,0
17408,-0.3,0,47.6,0
17409,0,0,47.6,0
17410,0,0,47.6,0
17411,0,0,47.5,0
17412,0,0,47.5,0
17413,0,0,47.6,0
17414,0,0,47.6,0
17415,0,0,47.6,0
17416,0,0,47.6,0
17417,0,0,47.5,0
17418,0,0,47.4,0
17419,0,0,46.9,5
17420,0,0,46.5,5
17421,0,0,46.6,0
17422,0,0,46.6,0
17423,0,0,46.6,0
17424,0,0,46.7,0
17425,0,0,46.7,0
17426,0,0,46.7,0
17427,0,0,46.7,0
17428,0,0,46.7,0
17429,0,0,46.7,0
17430,0,0,46.7,0
17431,0,0,46.7,0
17432,0,0,46.7,0
17433,4.5,0,46.8,0
17434,20.4,0,46.8,0
17435,49.5,0,47,0
17436,65.4,0,47,0
17437,72.3,0,47,0
17438,75,0,46.9,0
17439,76.2,0,46.9,0
17440,75.9,0,47.1,0
17441,75,0,46.6,5
17442,69.6,0,46.7,0
17443,66,0,46.9,0
17444,63.9,0,47,0
17445,62.1,0,47,0
17446,61.5,0,47,0
17447,60.9,0,47,0
17448,60.9,0,47,0
17449,60.9,0,47,0
17450,60.9,0,47.1,0
17451,60.9,0,47,0
17452,60.9,0,47,0
17453,60.9,0,47,0
17454,60.9,0,47,0
17455,60.9,0,47,0
17456,60.6,0,47,0
17457,60.6,0,47.1,0
17458,60.3,0,47.1,0
17459,60.3,0,47.1,0
17460,60.6,0,47.2,0
17461,60.6,0,47.2,0
17462,60.9,0,47.2,0
17463,61.2,0,47.2,0
17464,62.1,0,47.2,0
17465,66,0,47.2,0
17466,72.3,0,47.5,5
17467,75.9,0,47.8,5
17468,76.2,0,47.5,0
17469,75.9,0,47.5,0
17470,75.9,0,47.5,0
17471,75.9,0,47.7,0
17472,75.9,0,47.7,0
17473,75.9,0,47.7,0
17474,75.9,0,47.7,0
17475,75.9,0,47.7,0
17476,75.9,0,47.7,0
17477,75.9,0,47.7,0
17478,75.9,0,47.3,5
17479,75.9,0,47.1,0
17480,75.9,0,47.3,0
17481,75.9,0,46.3,10
17482,75.9,0,43.3,30
17483,75.9,0,39.1,40
17484,75.9,0,36.1,30
17485,75.9,0,36.4,5
17486,75.9,0,37.1,5
17487,75.6,0,37.3,0
17488,75.6,0,37.6,5
17489,75.6,0,37.9,5
17490,75.6,0,38.3,5
17491,75.6,0,38.5,0
17492,75.6,0,38.5,0
17493,75.6,0,38.5,0
17494,75.6,0,38.4,0
17495,75.6,0,38.5,0
17496,75.6,0,38.5,0
17497,75.6,0,38.6,0
17498,75.6,0,38.6,0
17499,75.6,0,39.1,5
17500,75.9,0,39.6,5
17501,75.9,0,39.7,0
17502,75.9,0,39.7,0
17503,75.9,0,39.8,0
17504,76.2,0,39.9,0
17505,76.2,0,39.9,0
17506,76.5,0,39.8,0
17507,76.8,0,39.7,0
17508,76.8,0,39.7,0
17509,77.1,0,39.8,0
17510,77.1,0,40.3,5
17511,77.1,0,40.4,0
17512,77.1,0,40.5,0
17513,77.1,0,40.5,0
17514,77.1,0,40.2,0
17515,77.4,0,40.1,0
17516,77.7,0,40,0
17517,80.1,0,39.6,5
17518,83.7,0,40,5
17519,83.7,0,40.7,5
17520,83.1,0,40.6,0
17521,82.8,0,40.5,0
17522,82.8,0,40.6,0
17523,82.8,0,40.6,0
17524,82.5,0,40.8,0
17525,82.5,0,40.7,0
17526,82.5,0,40.7,0
17527,82.8,0,40.9,0
17528,82.5,0,41,0
17529,82.5,0,41,0
17530,82.5,0,41,0
17531,82.5,0,40.9,0
17532,82.5,0,41,0
17533,82.5,0,41.1,0
17534,82.5,0,41.2,0
17535,82.5,0,41.1,0
17536,82.5,0,41.2,0
17537,81.6,0,41.2,0
17538,80.1,0,41.5,0
17539,78.9,0,41.7,0
17540,76.5,0,41.8,0
17541,74.7,0,41.8,0
17542,74.7,0,41.9,0
17543,74.1,0,42,0
17544,73.5,0,42,0
17545,71.4,0,42.2,0
17546,69.6,0,42.6,5
17547,67.2,0,43.4,10
17548,64.5,0,44.2,10
17549,61.2,0,45.7,15
17550,58.2,0,47.3,15
17551,56.1,0,47.7,5
17552,53.7,0,47.6,0
17553,52.8,0,47.7,0
17554,51.9,0,47.7,0
17555,52.5,0,47.6,0
17556,55.5,0,47.6,0
17557,64.8,0,47.6,0
17558,70.8,0,47.6,0
17559,76.5,0,47.6,0
17560,82.5,0,47.6,0
17561,86.4,0,47.5,0
17562,88.5,0,47.6,0
17563,88.5,0,47.5,0
17564,88.8,0,47.5,0
17565,88.8,0,47.4,0
17566,88.8,0,47.4,0
17567,88.8,0,47.4,0
17568,87.9,0,47.4,0
17569,86.7,0,47.3,0
17570,85.8,0,47.3,0
17571,85.5,0,47.3,0
17572,85.5,0,47.2,0
17573,85.8,0,47.2,0
17574,86.1,0,47.3,0
17575,86.7,0,47.3,0
17576,87.3,0,47.2,0
17577,87.3,0,47.2,0
17578,87.6,0,47.2,0
17579,87.6,0,47.1,0
17580,87.6,0,47.1,0
17581,87.6,0,47.1,0
17582,86.1,0,47.2,0
17583,82.2,0,47.1,0
17584,76.5,0,47.1,0
17585,72.3,0,47.2,0
17586,69,0,47.2,0
17587,64.8,0,47.2,0
17588,60.9,0,47.2,0
17589,57.3,0,47.2,0
17590,54.3,0,47.2,0
17591,51.6,0,47.6,5
17592,48.9,0,48.7,10
17593,43.5,0,49.9,10
17594,38.7,0,51,10
17595,36,0,52.7,15
17596,31.8,0,55.6,30
17597,31.5,0,60.4,50
17598,32.1,0,65.1,45
17599,32.4,0,68.3,30
17600,32.4,0,70.1,20
17601,31.8,0,70.3,0
17602,30,0,70.3,0
17603,30,0,70.3,0
17604,28.8,0,70.3,0
17605,27.3,0,70.3,0
17606,25.2,0,70.3,0
17607,24.3,0,70.3,0
17608,23.7,0,70.4,0
17609,22.8,0,70.4,0
17610,21.9,0,70.4,0
17611,21.6,0,70.5,0
17612,21,0,70.6,0
17613,20.4,0,70.7,0
17614,20.1,0,70.7,0
17615,19.5,0,70.9,0
17616,17.7,0,71.6,5
17617,16.5,0,72.1,5
17618,10.8,0,72.2,0
17619,8.4,0,72.2,0
17620,6.3,0.09375,72.3,0
17621,6.3,0.1875,72.7,5
17622,2.4,0.28125,73.5,10
17623,0.6,0.5625,74.6,10
17624,1.2,0.5625,76.3,15
17625,3,0.46875,79.5,30
17626,4.8,0.1875,85.5,60
17627,6.3,0,94.5,90
17628,6.6,0,105.6,110
17629,6.3,0,118.5,130
17630,6.3,0,130.6,120
17631,5.4,0.09375,140,95
17632,3.9,0.28125,147.2,70
17633,3,0.46875,154.4,70
17634,1.5,0.78125,163.5,90
17635,1.8,0.78125,174.2,105
17636,2.1,0.78125,186.1,120
17637,2.7,0.65625,199.6,135
17638,3,0.65625,213.2,135
17639,3.6,0.46875,224.3,110
17640,4.2,-0.375,229.8,45
17641,4.2,-0.46875,229.3,5
17642,8.1,-0.46875,233.2,35
17643,13.5,-1.75,237.2,40
17644,18.9,-2.53125,240.2,30
17645,33,-2.53125,242,0
17646,38.4,0.875,241.2,10
17647,51.9,1.34375,238.3,30
17648,58.8,0,233.6,45
17649,59.4,-0.96875,228.9,45
17650,59.7,-0.09375,227.3,15
17651,66.6,0.65625,227.3,0
17652,83.7,0.1875,227.3,0
17653,94.5,-0.28125,227.3,0
17654,99.6,-0.09375,227.3,0
17655,97.5,0.1875,227.2,0
17656,90,0.1875,227.1,0
17657,80.1,-0.09375,227.1,0
17658,69.6,0,227.1,0
17659,60.3,0.1875,227,0
17660,57.3,0.28125,227,0
17661,48,-0.09375,226.9,0
17662,43.8,0,226.9,0
17663,43.8,0.09375,226.9,0
17664,43.8,0.09375,226.8,0
17665,44.7,0,226.8,0
17666,40.5,0.09375,226.8,0
17667,34.2,0.09375,226.7,0
17668,30,0,226.7,0
17669,28.2,0,226.6,0
17670,29.1,0.09375,226.6,0
17671,31.5,0.09375,226.6,0
17672,33.9,0,226.5,0
17673,35.4,0.09375,226.5,0
17674,36.3,0.09375,226.5,0
17675,37.5,0.09375,226.4,0
17676,38.4,0.09375,226.4,0
17677,39.3,0.09375,226.4,0
17678,40.2,0.09375,226.4,0
17679,40.8,0.09375,226.4,0
17680,41.4,0.09375,226.4,0
17681,41.7,0.09375,226.3,0
17682,42,0.09375,226.3,0
17683,41.7,0.09375,226.3,0
17684,41.7,0.09375,226.3,0
17685,41.7,0,226.3,0
17686,40.2,0.09375,226.2,0
17687,36.3,0,226.2,0
17688,33,0,226.2,0
17689,33,0.1875,226.2,0
17690,33.6,0.28125,226.2,0
17691,33.9,0,226.1,0
17692,34.8,0,226.1,0
17693,36.6,0.09375,226.1,0
17694,37.8,0,226.1,0
17695,38.7,0,226.1,0
17696,39.3,0,226.1,0
17697,40.2,0,226.1,0
17698,41.1,0.09375,226.1,0
17699,41.7,0,226.1,0
17700,42,0,226.1,0
17701,42.6,0,226.1,0
17702,42.9,0.09375,226.1,0
17703,43.2,0,226.1,0
17704,43.8,0,226.1,0
17705,43.8,0,226.1,0
17706,44.1,0,226.1,0
17707,44.1,0,226.1,0
17708,43.8,0,226.1,0
17709,42.9,0,226.1,0
17710,41.7,0,226.1,0
17711,42.3,0.09375,226.1,0
17712,42.3,0,226.1,0
17713,42.6,0,226.1,0
17714,42.6,0,226.1,0
17715,42.9,0,226.1,0
17716,42.9,0,226.1,0
17717,43.2,0,226.1,0
17718,43.2,0,226.1,0
17719,42.9,0,226.1,0
17720,42.6,0,226.1,0
17721,41.1,0,226.1,0
17722,38.1,0,226.1,0
17723,36,0,226.1,0
17724,35.4,0,226.1,0
17725,34.8,0,226.1,0
17726,31.2,0,226.1,0
17727,26.4,0,226.1,0
17728,23.4,0,226.1,0
17729,22.2,0,226.1,0
17730,22.2,0,226.1,0
17731,21.6,0,226.1,0
17732,21,0,226.1,0
17733,20.4,0,226.1,0
17734,21.3,0,226.1,0
17735,24,0,226.1,0
17736,29.7,0,226.1,0
17737,31.5,0,226.1,0
17738,30.9,0,226.1,0
17739,30.9,0,226.1,0
17740,30.9,0,226.1,0
17741,30.9,0,226.1,0
17742,31.2,0,226.1,0
17743,31.5,0,226.1,0
17744,31.5,0,226.1,0
17745,31.5,0,226.1,0
17746,31.5,0,226.1,0
17747,31.5,0,226.1,0
17748,31.5,0,226.1,0
17749,31.5,0,226.1,0
17750,30.3,0,226.1,0
17751,29.1,0,226.1,0
17752,27.9,0,226.1,0
17753,27,0,226.1,0
17754,26.4,0,226.1,0
17755,25.8,0,226.1,0
17756,25.5,0,226.1,0
17757,24.3,0,226.1,0
17758,23.4,0,226.1,0
17759,22.8,0.09375,226.1,0
17760,21.9,0,226.1,0
17761,21.9,0,226.1,0
17762,21.6,0,226.1,0
17763,21.3,0,226.1,0
17764,21,0,226.1,0
17765,21,0,226.1,0
17766,21,0,226.1,0
17767,21.3,0,226.1,0
17768,21.9,0,226.1,0
17769,24,0,226.1,0
17770,22.8,0,226.1,0
17771,21,0,226.1,0
17772,21,0,226.1,0
17773,18.9,0,226.1,0
17774,18.6,0,226.1,0
17775,17.1,0,226.1,0
17776,15.3,0,226.1,0
17777,13.2,0,226.1,0
17778,6.3,0,226.1,0
17779,6.3,0,226.1,0
17780,6.6,0,226.1,0
17781,3,0,226.1,0
17782,3.6,0,226.1,0
17783,0.6,0,226.1,0
17784,0.6,0.1875,226.1,0
17785,0.6,0.1875,225.9,0
17786,0.6,0.1875,225.7,0
17787,0.6,0.1875,225.5,0
17788,0.9,0.1875,225.2,5
17789,0.9,0.1875,224.9,5
17790,1.2,0.28125,224.4,5
17791,0.6,0.28125,223.6,10
17792,-0.3,0.375,222.7,10
17793,-0.3,0.375,221.7,10
17794,-0.3,0.375,220.1,15
17795,0,0.375,217.5,25
17796,0,0.375,213.7,40
17797,0,0.375,210.2,35
17798,-0.3,0.46875,207.3,30
17799,0,0.46875,209.8,25
17800,0,0.46875,212.9,30
17801,0,0.5625,214.7,20
17802,0,0.5625,217.1,25
17803,0,0.5625,220.9,40
17804,0,0.65625,225.8,50
17805,0,0.65625,232.2,65
17806,0,0.78125,239.6,75
17807,0,0.96875,244.9,55
17808,0,1.75,246.7,20
17809,0,1.84375,245.8,10
17810,0,2.34375,245.9,5
17811,0,2.625,248.4,25
17812,0,2.84375,250.6,20
17813,0,3.125,250,5
17814,0,3.3125,249.4,5
17815,0,3.21875,249.7,0
17816,-0.3,3.40625,250.1,5
17817,0,3.625,250.6,5
17818,0,3.53125,256.4,60
17819,0,2.34375,264.4,80
17820,0,0.1875,271.6,70
17821,0,-0.875,274.4,30
17822,0,-0.96875,274.7,5
17823,0,-0.375,272.3,25
17824,0,0.09375,5.1,0
17825,0,0,5.3,0
17826,0,0.1875,5.1,0
17827,0,0.375,4.4,5
17828,0,0.5625,3.7,5
17829,0,0.65625,3,5
17830,0,0.65625,16.2,0
17831,0,0.78125,15.7,5
17832,0,0.78125,14.6,10
17833,0,0.65625,13.4,10
17834,0,-0.09375,23.7,70
17835,0,-0.09375,27.2,35
17836,0,-0.09375,26.2,10
17837,0,0,23.7,25
17838,0,0.65625,1.8,0
17839,0,0.65625,2.2,5
17840,0,0.5625,3,10
17841,0,0.5625,3.6,5
17842,0,0.46875,3.7,0
17843,0,0.46875,3.8,0
17844,0,0.46875,3.9,0
17845,0,0.5625,3.4,5
17846,0,0.375,2.9,5
17847,0,0.46875,1.6,15
17848,0,0.46875,0.7,10
17849,0,0.46875,0.9,0
17850,0,0.5625,1.5,5
17851,0,0.375,1.4,0
17852,0,0.375,0.8,5
17853,0,0.5625,0.2,5
17854,0,0.65625,0.6,10
17855,0,0.46875,1,5
17856,0.3,0.28125,0.9,0
17857,0,0.375,0.9,0
17858,0,0.65625,0.8,0
17859,0,0.65625,0.4,5
17860,0,0.65625,0.2,0
17861,0,0.65625,0,0
17862,0,0.5625,0.3,5
17863,0,0.65625,0.4,0
17864,0,0.65625,0.5,0
17865,0,0.65625,0.6,0
17866,0,0.65625,0.7,0
17867,0,0.65625,0.7,0
17868,0,0.65625,0.8,0
17869,0,0.65625,1,0
17870,0,0.78125,1.2,0
17871,0,0.65625,1.4,0
17872,0,-0.375,0.6,0
17873,0,-0.46875,0.8,0
17874,0,-0.46875,1,0
17875,0,-0.375,0.8,0
17876,0,-0.375,0.8,0
17877,0,-0.375,0.9,0
17878,0,-0.375,0.9,0
17879,0,-0.46875,0.9,0
17880,0,-0.375,0.9,0
17881,0,-0.375,0.9,0
17882,0,-0.375,0.9,0
17883,0,-0.375,1,0
17884,0,-0.375,1.1,0
17885,0,0.5625,17,15
17886,0,0.78125,17.8,10
17887,0,0.875,17.7,0
17888,0,0.78125,17.6,0
17889,0,0.46875,10.7,15
17890,0,0.375,12.4,15
17891,0,0.5625,13.9,15
17892,0,0.5625,14.4,5
17893,0,0.5625,14.5,0
17894,0,-0.375,8.8,0
17895,0,-0.46875,8.8,0
17896,0,-0.46875,8.7,0
17897,0,-0.28125,9.5,0
17898,0.3,-0.28125,9.5,0
17899,0.3,-0.09375,9.5,0
17900,0.3,0.78125,13.2,0
17901,0,0.875,13.6,5
17902,0.3,0.875,14.2,5
17903,0.3,0.78125,14.5,5
17904,0.3,2.25,242.5,185
17905,0.3,2.34375,213.6,290
17906,0.3,2.25,182,315
17907,0.3,2.25,153.3,285
17908,0,2.15625,126.2,270
17909,0.3,2.15625,96.8,295
17910,0.3,2.15625,63.5,335
17911,0,2.15625,27.3,360
17912,0.3,2.15625,8.5,360
17913,26.4,-4.3125,2.8,0
17914,24.3,-4,2.9,0
17915,22.2,-3.71875,3,0
17916,21,-3.625,3.2,0
17917,20.1,-3.3125,3.4,0
17918,20.1,-1.5625,3.6,0
17919,16.5,1.0625,4.2,5
17920,16.2,1.15625,5.1,10
17921,16.5,0.1875,6.3,10
17922,15.3,-0.65625,9.2,30
17923,8.4,0,16.1,70
17924,4.5,0.46875,23.8,75
17925,3,0.28125,29.9,60
17926,4.2,-0.1875,34.4,45
17927,7.5,-0.1875,38.5,40
17928,7.5,0.1875,42.5,40
17929,7.8,0.1875,46.4,40
17930,8.7,0,48.5,20
17931,9.6,0,48.1,5
17932,9.9,0.09375,48,0
17933,10.8,0.09375,48,0
17934,11.1,0,48,0
17935,11.4,0,48.1,0
17936,11.4,0,48.5,5
17937,2.7,0,50.2,15
17938,0.6,0.09375,52.6,25
17939,1.8,0,55.2,25
17940,0,0,59,40
17941,0.3,0.09375,65.7,65
17942,0.3,0.1875,77,115
17943,0.3,0.28125,90.5,150
17944,0.3,0.28125,107.7,155
17945,0.3,0.375,123,155
17946,0.3,0.46875,138.7,155
17947,0.3,0.46875,150.9,135
17948,0.3,0.46875,164,120
17949,0.3,0.46875,179.8,160
17950,0.3,0.46875,199,190
17951,0.3,0.46875,216.7,200
17952,0.3,0.46875,234.1,155
17953,0.3,0.78125,248.2,140
17954,0.3,1.15625,264.7,165
17955,0.3,1.46875,278.1,150
17956,0,1.65625,290.4,110
17957,0.3,2.25,296.1,55
17958,0.3,2.15625,292.7,35
17959,0.3,0.96875,268.9,250
17960,13.5,0.28125,219.9,450
17961,9.6,-0.65625,162,580
17962,9.9,-0.875,100.3,615
17963,6.3,-0.875,50,570
17964,4.5,-0.28125,13,330
17965,4.5,-0.375,22.4,355
17966,7.2,-0.46875,54.5,320
17967,8.4,-0.78125,82.6,315
17968,8.4,-0.875,111.5,260
17969,6.3,-0.875,137.3,260
17970,0.9,-0.46875,164,265
17971,1.8,-0.09375,183,215
17972,3.6,-0.1875,190.1,5
17973,3.9,-0.28125,170.1,200
17974,4.2,-0.28125,135.5,345
17975,4.2,-0.375,94.9,450
17976,4.5,-0.375,37.4,525
17977,4.8,-0.375,20,575
17978,4.8,-0.375,64.3,445
17979,3.9,-0.375,88.2,275
17980,0,-0.09375,115.7,250
17981,0.3,0,131.1,155
17982,0.3,0.09375,147.3,160
17983,0.3,0.1875,177.5,325
17984,0.3,0.1875,227.3,455
17985,0.3,0.28125,274.5,470
17986,0.3,0.375,315.5,410
17987,0.3,0.46875,347.4,360
17988,0.3,0.65625,377.5,270
17989,0.3,1.0625,389.6,120
17990,0.3,1.25,389.6,10
17991,0.3,1.9375,384,60
17992,0,2.03125,375.4,80
17993,0.3,2.25,361.3,140
17994,0.3,2.25,335.8,255
17995,0.3,2.25,305.3,335
17996,0.3,2.34375,270.3,315
17997,0.3,2.15625,236.2,340
17998,0.3,2.03125,193.1,430
17999,0.3,2.15625,145.6,525
18000,0.3,2.25,86.8,535
18001,0,1.0625,10,5
18002,0,0.875,9.8,0
18003,0,0.875,8.8,10
18004,0,0.96875,7.8,10
18005,0,0.96875,6.8,10
18006,0,-0.1875,36.8,30
18007,0.3,-0.1875,40.3,35
18008,0,-0.1875,41.7,15
18009,0.3,-0.09375,38.4,45
18010,0.3,0,39.4,10
18011,0.3,0,38.4,10
18012,0.3,0.28125,36.2,20
18013,23.1,-3.53125,2.8,0
18014,22.5,-3.53125,2.9,0
18015,21,-3.40625,2.8,0
18016,21,-3.40625,2.8,0
18017,20.1,-3.21875,2.8,0
18018,20.1,-3.3125,2.8,0
18019,20.1,-3.21875,2.7,0
18020,20.1,-2.15625,2.7,0
18021,20.1,0.96875,2.7,0
18022,19.2,1.46875,2.8,0
18023,19.2,0,2.7,0
18024,19.2,-0.875,2.7,0
18025,19.2,-0.09375,2.7,0
18026,19.2,0.65625,3,0
18027,19.5,0.1875,3.3,5
18028,19.5,-0.375,3.3,0
18029,19.8,-0.1875,3.3,0
18030,19.8,0.28125,3.4,0
18031,20.1,0.1875,3.5,0
18032,20.1,-0.09375,3.5,0
18033,20.1,-0.09375,3.6,0
18034,20.1,0.09375,3.8,0
18035,20.1,0.09375,3.9,0
18036,20.1,0,4.1,0
18037,20.1,0,4.3,0
18038,20.1,0,4.5,0
18039,20.1,0.09375,4.8,5
18040,20.1,0,5.4,5
18041,20.1,0,5.9,5
18042,20.1,0,6,0
18043,20.1,0,6.4,5
18044,20.1,0,7.5,10
18045,20.1,0,8.5,10
18046,20.1,0,8.8,5
18047,20.1,0,8.8,0
18048,20.1,0,8.8,0
18049,20.1,0,8.7,0
18050,20.1,0,8.8,0
18051,20.1,0,8.9,0
18052,20.1,0,8.9,0
18053,20.1,0,8.9,0
18054,20.1,0,9,0
18055,20.1,0,9,0
18056,20.1,0,9.2,0
18057,20.1,0,9.2,0
18058,20.1,0,9.3,0
18059,20.1,0,9.3,0
18060,20.1,0,9.4,0
18061,20.1,0,9.4,0
18062,20.1,0,9.5,0
18063,20.1,0,9.7,0
18064,20.1,0,9.8,0
18065,20.1,0,9.9,0
18066,20.1,0,10,0
18067,20.1,0,10.1,0
18068,20.1,0,10.2,0
18069,20.1,0,10.2,0
18070,20.1,0,10.3,0
18071,20.1,0,10.4,0
18072,20.1,0,10.4,0
18073,20.1,0,10.5,0
18074,20.1,0,10.5,0
18075,20.1,0,10.6,0
18076,20.1,0,10.8,0
18077,19.2,0,11.2,5
18078,18.6,0,11.7,5
18079,17.7,0,12.7,10
18080,17.1,0,16.7,40
18081,16.2,0,24.5,80
18082,15.6,0,31.6,70
18083,15.6,0,37.7,60
18084,15.6,0,43.2,55
18085,13.8,0,48.4,50
18086,9.6,0,55.4,70
18087,3.3,0,66.3,110
18088,0.9,0,81,145
18089,0.3,0.09375,97.9,170
18090,0.3,0.09375,116.3,185
18091,0.3,0.28125,134.7,185
18092,0.3,0.28125,153.3,185
18093,0.3,0.28125,172.3,190
18094,0.3,0.375,184.8,125
18095,0.3,0.375,184.5,10
18096,0.3,0.5625,187.6,30
18097,0.3,0.65625,197.1,95
18098,0.3,0.875,209.9,130
18099,0.3,1.0625,219.7,100
18100,0.3,1.34375,225.4,55
18101,0.3,1.46875,229.6,40
18102,0,1.5625,235,55
18103,0.3,1.75,240.4,55
18104,0.3,2.03125,245.6,50
18105,0.3,2.15625,249.1,35
18106,0.3,2.15625,249.8,0
18107,0.3,1.9375,249.2,5
18108,0.3,1.65625,246.2,30
18109,0.3,1.5625,238.6,75
18110,0.3,1.0625,225.1,135
18111,0.3,0.09375,205.8,195
18112,0.3,0,183.9,220
18113,0.3,0.09375,162.6,215
18114,0.3,0,145.3,175
18115,0,0.375,128,175
18116,0.3,0.46875,109.8,180
18117,0.3,0.46875,90.2,195
18118,0.3,0.5625,67.2,230
18119,0.3,-0.28125,12.7,5
18120,0.3,-0.375,11.1,15
18121,0.3,0,10.4,5
18122,0.3,0.28125,15.7,5
18123,0.3,0.28125,15.8,0
18124,0.3,0.1875,14.2,15
18125,0.3,0.28125,12.6,15
18126,0.3,1.0625,0,10
18127,0.3,0.96875,0.7,5
18128,0.3,0.875,0.7,0
18129,0.3,0.78125,0.5,0
18130,0.3,0.875,0.1,5
18131,0.3,0.78125,0.6,5
18132,0.3,0.5625,0.8,0
18133,0.3,0.46875,0.3,10
18134,0.3,0.65625,1.4,10
18135,0.3,0.46875,1.7,5
18136,0.3,0.46875,1.5,0
18137,0.3,0.46875,1.9,5
18138,0.3,0.375,2.2,5
18139,0.3,0.5625,2.2,0
18140,0.3,0.65625,2.2,0
18141,0.3,0.5625,2.8,5
18142,0.3,0.46875,3.6,10
18143,0.3,0.65625,4.1,5
18144,0.3,0.65625,3.5,5
18145,0.3,0.78125,2.7,10
18146,0.3,0.78125,2.4,5
18147,0.3,0.78125,2.2,0
18148,0.3,0.78125,1.9,0
18149,0.3,0.65625,1.7,0
18150,0.3,0.78125,1.2,5
18151,0.3,0.875,0.5,5
18152,0.3,0.875,0,5
18153,0.3,0.78125,0,0
18154,0.3,0.875,0,0
18155,0.3,0.78125,0.1,0
18156,0.3,0.875,0.2,0
18157,0.3,0.375,0,0
18158,0.3,0.375,0.1,0
18159,0.3,0.375,0.4,5
18160,0.3,0.28125,0.6,0
18161,0.3,0.375,0.6,0
18162,0.3,0.46875,0.6,0
18163,0.3,0.375,0.6,0
18164,0.3,0.375,0.6,0
18165,0.3,0.375,0.6,0
18166,0.3,0.375,0.6,0
18167,0.3,0.46875,0.6,0
18168,0.3,0.375,0.6,0
18169,0.3,0.28125,0.5,0
18170,0.3,0.28125,0.5,0
18171,0.3,0.375,0.4,0
18172,0.3,0.375,0.4,0
18173,0.3,0.375,0.3,0
18174,0.3,0.28125,0,5
18175,0.3,0.46875,0.1,0
18176,0.3,0.375,0.1,0
18177,0.3,0.28125,0.1,0
18178,0.3,0.28125,0.1,0
18179,0.3,0.375,0.3,0
18180,0.3,0.375,0.4,0
18181,0.3,0.375,0.5,0
18182,0.3,0.1875,0.5,0
18183,0.3,0.375,0.8,5
18184,0.3,0.375,0.8,0
18185,0.3,0,1.3,5
18186,0.3,0,1.4,0
18187,0.3,0,1.6,0
18188,0.3,-0.28125,1.7,0
18189,3.9,-0.28125,1.7,0
18190,3,-0.46875,1.6,0
18191,3,-0.46875,1.5,0
18192,2.1,-0.46875,1.6,0
18193,0,-0.375,1.7,0
18194,2.1,-0.375,1.7,0
18195,6,-0.65625,1.6,0
18196,6.3,-0.96875,1.5,0
18197,9,-1.0625,1.4,0
18198,11.4,-1.34375,1.4,0
18199,12.3,-1.5625,1.1,5
18200,12.3,-1.5625,0.2,10
18201,12.3,-1.65625,0.7,10
18202,12,-1.5625,0.8,0
18203,11.4,-1.65625,0.3,5
18204,6.6,-1.34375,0.1,5
18205,6.9,-1.25,0.1,0
18206,6.9,-1.15625,0.2,5
18207,6.9,-1.15625,1.1,10
18208,6.9,-1.25,1.6,5
18209,7.5,-1.15625,1.3,0
18210,9.6,-1.46875,1.1,0
18211,11.7,-1.5625,1,0
18212,13.2,-1.65625,1,0
18213,14.4,-1.84375,0.9,0
18214,14.4,-1.84375,0.9,0
18215,14.1,-1.84375,0.1,10
18216,14.4,-1.9375,1.4,15
18217,14.4,-1.9375,1.7,0
18218,14.4,-1.9375,1.3,5
18219,14.4,-1.84375,1.3,0
18220,14.4,-2.03125,1.1,0
18221,14.4,-1.9375,0.7,5
18222,14.7,-2.03125,0.2,10
18223,15.6,-2.15625,1.4,10
18224,16.5,-2.15625,1.4,0
18225,16.5,-2.25,1.4,0
18226,17.1,-2.4375,1.2,0
18227,17.1,-2.4375,0.9,5
